Control from F1,Best Match from F2,Similarity Score,Match Type
"ID.AM-1.3: When unauthorized hardware is detected, it shall be quarantined for possible exception handling, removed, or replaced, and the inventory shall be updated accordingly.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.579677164554596,Partial Match
"BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
"BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
BASIC_ID.RA-1.1: Threats and vulnerabilities shall be identified.,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,0.7565029859542847,Partial Match
"ID.RA-1.2: A process shall be established to monitor, identify, and document vulnerabilities of the organisation's business critical systems in a continuous manner.",ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,0.6776506900787354,Partial Match
PR.IP-12.1: The organization shall establish and maintain a documented process that allows continuous review of vulnerabilities and strategies to mitigate them.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.533005952835083,Partial Match
DE.CM-8.1: The organization shall monitor and scan for vulnerabilities in its critical systems and hosted applications ensuring that system functions are not adversely impacted by the scanning process.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.533435046672821,Partial Match
"DE.CM-8.2: The vulnerability scanning process shall include analysis, remediation, and information sharing.","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.6714082956314087,Partial Match
"RS.AN-5.1: The organization shall implement vulnerability management processes and procedures that include processing, analyzing and remedying vulnerabilities from internal and external sources.","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.6738519668579102,Partial Match
"PR.IP-1.1: The organization shall develop, document, and maintain a baseline configuration for the its business critical systems.","PR.PS-01: Configuration management practices are applied (formerly PR.IP-01, PR.IP-03, PR.PT-02, PR.PT-03)",0.6568432450294495,Partial Match
PR.IP-6.1: The organization shall ensure that its critical system's data is destroyed according to policy.,"PR.DS-09: Data is managed throughout its life cycle, including destruction (formerly PR.IP-06)",0.6869288086891174,Partial Match
"BASIC_ID.GV-3.1: Legal and regulatory requirements regarding information/cybersecurity, including privacy obligations, shall be understood and implemented.","GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed (formerly ID.GV-03)",0.753981351852417,Partial Match
"ID.GV-3.2: Legal and regulatory requirements regarding information/cybersecurity, including privacy obligations, shall be managed.","GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed (formerly ID.GV-03)",0.8165518045425415,Full Match
"ID.BE-1.1: The organization’s role in the supply chain shall be identified, documented, and communicated. ",ID.AM-04: Inventories of services provided by suppliers are maintained,0.5784891843795776,Partial Match
"ID.SC-3.1: Based on the results of the cyber supply chain risk assessment, a contractual framework for suppliers and external partners shall be established to address sharing of sensitive information and distributed and interconnected ICT/OT products and services.","GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)",0.7551702260971069,Partial Match
"ID.SC-4.1: The organization shall review assessments of suppliers’ and third-party partner’s compliance with contractual obligations by routinely reviewing audits, test results, and other evaluations.","GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)",0.501481294631958,Partial Match
ID.SC-5.1: The organization shall identify and document key personnel from suppliers and third-party partners to include them as stakeholders in response and recovery planning activities.,"GV.SC-02: Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally (formerly ID.AM-06)",0.5203050374984741,Partial Match
PR.AT-3.1: The organization shall establish and enforce security requirements for business-critical third-party providers and users.	,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)",0.507868766784668,Partial Match
DE.CM-6.2: External service providers' conformance with personnel security policies and procedures and contract security requirements shall be monitored relative to their cybersecurity risks.,"DE.CM-06: External service provider activities and services are monitored to find potentially adverse events (formerly DE.CM-06, DE.CM-07)",0.6893880367279053,Partial Match
"BASIC_PR.PT-1.1: Logs shall be maintained, documented, and reviewed.",PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01),0.6683157682418823,Partial Match
PR.PT-1.2: The organization shall ensure that the log records include an authoritative time source or internal clock time stamp that are compared and synchronized  to an authoritative time source. ,PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01),0.637414276599884,Partial Match
DE.AE-2.1: The organization shall review and analyze detected events to understand attack targets and methods.,DE.AE-02: Potentially adverse events are analyzed to better understand associated activities,0.6170815825462341,Partial Match
"DE.AE-3.2: The organization shall ensure that event data is compiled and correlated across its critical systems using various sources such as event reports, audit monitoring, network monitoring, physical access monitoring, and user/administrator reports.",DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04),0.6023258566856384,Partial Match
DE.AE-5.1: The organization shall implement automated mechanisms and system generated alerts to support event detection and to assist in the identification of security alert thresholds.,DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04),0.5133184790611267,Partial Match
DE.DP-3.1: The organization shall validate that event detection processes are operating as intended.,DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04),0.5466703176498413,Partial Match
"BASIC_ID.GV-4.1: As part of the company's overall risk management, a comprehensive strategy to manage information security and cybersecurity risks shall be developed and updated when changes occur.","GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced (formerly ID.AM-06, ID.GV-02, DE.DP-01)",0.6819783449172974,Partial Match
"BASIC_ID.RA-5.1: The organization shall conduct risk assessments in which risk is determined by threats, vulnerabilities and impact on business processes and assets.","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.7774887084960938,Partial Match
"ID.RA-5.2: The organization shall conduct and  document risk assessments in which risk is determined by threats, vulnerabilities, impact on business processes and assets, and the likelihood of their occurrence.","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.7951780557632446,Partial Match
"ID.RA-6.1: A comprehensive strategy shall be developed and implemented to manage risks to the organization’s critical systems, that includes the identification and prioritization of risk responses.","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.7435448169708252,Partial Match
"ID.RM-1.1: A cyber risk management process that identifies key internal and external stakeholders and facilitates addressing risk-related issues and information shall be created, documented, reviewed, approved, and updated when changes occur.",GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders (formerly ID.RM-01),0.6535305380821228,Partial Match
ID.RM-2.1: The organization shall clearly determine it’s risk appetite.,"GV.RM-02: Risk appetite and risk tolerance statements are determined, communicated, and maintained (formerly ID.RM-02, ID.RM-03)",0.7381579875946045,Partial Match
ID.RM-3.1: The organization’s role in critical infrastructure and its sector shall determine the organization’s risk appetite.,GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders (formerly ID.RM-01),0.6656497120857239,Partial Match
"ID.SC-2.1: The organization shall conduct cyber supply chain risk assessments at least annually or when a change to the organization’s critical systems, operational environment, or supply chain occurs; These assessments shall be documented, and the results disseminated to relevant stakeholders including those responsible for ICT/OT systems.","GV.SC-03: Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes (formerly ID.SC-02)",0.6759428977966309,Partial Match
"PR.AC-7.1: The organization shall perform a documented risk assessment on organization's critical system transactions and authenticate users, devices, and other assets (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks).","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.5722206234931946,Partial Match
"PR.IP-7.1: The organization shall incorporate improvements derived from the monitoring, measurements, assessments, and lessons learned into protection process updates (continuous improvement).","ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked (formerly part of PR.IP-03)",0.5881983041763306,Partial Match
ID.RA-2.1: A threat and vulnerability awareness program that includes a cross-organization information-sharing capability shall be implemented. ,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,0.650317907333374,Partial Match
"DE.CM-1.2: The organization shall monitor and identify unauthorized use of its business critical systems through the detection of unauthorized local connections, network connections and remote connections.","DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)",0.7074682712554932,Partial Match
BASIC_DE.CM-3.1: End point and network protection tools to monitor end-user behavior for dangerous activity shall be implemented.,"DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)",0.6100462079048157,Partial Match
DE.CM-3.2: End point and network protection tools that monitor end-user behavior for dangerous activity shall be managed.,"DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)",0.6418890953063965,Partial Match
"BASIC_PR.AC-2.1: Physical access to the facility, servers and network components shall be managed.","PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)",0.5572105646133423,Partial Match
PR.AC-2.2: The management of physical access shall include measures related to access in emergency situations.,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)",0.5406685471534729,Partial Match
BASIC_PR.AC-4.2: It shall be identified who should have access to the organization's business's critical information and technology and the means to get access.,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)",0.5000839233398438,Partial Match
DE.CM-2.1: The physical environment of the facility shall be monitored for potential information/cybersecurity events.,DE.CM-02: The physical environment is monitored to find potentially adverse events,0.7500029802322388,Partial Match
"BASIC_PR.AC-3.2: The organization's networks when accessed remotely shall be secured, including through multi-factor authentication (MFA). ","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)",0.6059068441390991,Partial Match
BASIC_PR.AC-4.1: Access permissions for users to the organization’s systems shall be defined and managed.,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.7758499383926392,Partial Match
"BASIC_PR.AC-4.4: Nobody shall have administrator privileges for daily tasks.
","PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.5190695524215698,Partial Match
"PR.AC-4.5: Where feasible, automated mechanisms shall be implemented to support the management of user accounts on the organisation's critical systems, including disabling, monitoring, reporting and deleting user accounts.","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)",0.544003963470459,Partial Match
PR.AC-4.6: Separation of duties (SoD) shall be ensured in the management of access rights.,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.6800845265388489,Partial Match
PR.AC-6.1: The organization shall implement documented procedures for verifying the identity of individuals before issuing credentials that provide access to organization's systems.,"PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)",0.7110257148742676,Partial Match
"PR.AT-2.1: Privileged users shall be qualified before privileges are granted, and these users shall be able to demonstrate the understanding of their roles, responsibilities, and authorities.","PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.5854905843734741,Partial Match
PR.AT-1.2: The organization shall incorporate insider threat recognition and reporting into security awareness training.,"PR.AT-02: Individuals in specialized roles are provided awareness and training so they possess the knowledge and skills to perform relevant tasks with security risks in mind (formerly PR.AT-02, PR.AT-03, PR.AT-04, PR.AT-05)",0.7273919582366943,Partial Match
"PR.DS-4.1: Capacity planning shall ensure adequate resources for organization's critical system information processing, networking, telecommunications, and data storage.",PR.IR-04: Adequate resource capacity to ensure availability is maintained (formerly PR.DS-04),0.7172536849975586,Partial Match
"RC.IM-1.1: The organization shall incorporate lessons learned from incident recovery activities into updated or new system recovery procedures and, after testing, frame this with appropriate training.","RC.RP-02: Recovery actions are determined, scoped, prioritized, and performed",0.6621372699737549,Partial Match
"RC.CO-3.1: The organization shall communicate recovery activities to predefined stakeholders, executive and management teams.",RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,0.7827961444854736,Partial Match
"PR.IP-9.1: Incident response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) shall be established, maintained, approved, and tested to determine the effectiveness of the plans, and the readiness to execute the plans.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.7279253005981445,Partial Match
DE.AE-5.2: The organization shall define incident alert thresholds.,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria (formerly DE.AE-05),0.6561907529830933,Partial Match
"BASIC_RS.RP-1.1:  An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6855024099349976,Partial Match
"BASIC_RS.RP-1.1:  An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6855024099349976,Partial Match
"RS.CO-2.1: The organization shall implement reporting on information/cybersecurity incidents on its critical systems in an organization-defined time frame to organization-defined personnel or roles.
NOTE: Incident notification has to be sent to CSIRT within 24 hours of becoming aware of a significant incident",RS.CO-02: Internal and external stakeholders are notified of incidents,0.7059158086776733,Partial Match
"RS.CO-2.2: The organization shall implement reporting on information/cybersecurity incidents on its critical systems such that a subsequent update is sent to CSIRT within 72 hours of becoming aware of the security incident
NOTE: CSIRT may request intermediate reports as needed. Procedures should allow such adhoc reports to be shared in a time-bound manner",RS.CO-02: Internal and external stakeholders are notified of incidents,0.6285874247550964,Partial Match
"RS.CO-2.3: A final report not later than one month after the submission of the incident notification under point (b), including the following:
(i) a detailed description of the incident, including its severity and impact;
(ii) the type of threat or root cause that is likely to have triggered the incident;
(iii) applied and ongoing mitigation measures;
(iv) where applicable, the cross-border impact of the incident;",RS.CO-02: Internal and external stakeholders are notified of incidents,0.6957082748413086,Partial Match
BASIC_RS.CO-3.1: Information/cybersecurity incident information shall be communicated and shared with the organization’s employees in a format that they can understand.,RS.CO-02: Internal and external stakeholders are notified of incidents,0.5824811458587646,Partial Match
RS.CO-3.2: The organization shall share information/cybersecurity incident information with relevant stakeholders as foreseen in the incident response plan.,RS.CO-02: Internal and external stakeholders are notified of incidents,0.7104041576385498,Partial Match
RS.CO-4.1: The organization shall coordinate information/cybersecurity incident response actions with all predefined stakeholders.,RS.CO-02: Internal and external stakeholders are notified of incidents,0.6838677525520325,Partial Match
RS.AN-2.1:Thorough investigation and result analysis shall be the base for understanding the full implication of the information/cybersecurity incident.,RS.AN-03: Analysis is performed to determine what has taken place during an incident and the root cause of the incident,0.6623490452766418,Partial Match
RS.AN-4.1: Information/cybersecurity incidents shall be categorized according to the level of severity and impact consistent with the evaluation criteria included the incident response plan.,"RS.MA-03: Incidents are categorized and prioritized (formerly RS.AN-04, RS.AN-02)",0.524732232093811,Partial Match
"RS.MI-1.1: The organization shall implement an incident handling capability for information/cybersecurity incidents on its business critical systems that includes preparation, detection and analysis, containment, eradication, recovery and documented risk acceptance.",RS.MI-01: Incidents are contained,0.7048991918563843,Partial Match
"BASIC_RS.IM-1.1:The organization shall conduct post-incident evaluations to analyse lessons learned from incident response and recovery, and consequently improve processes / procedures / technologies to enhance its cyber resilience.",RS.MA-05: The criteria for initiating incident recovery are applied,0.5357860922813416,Partial Match
"RS.IM-1.2:Lessons learned from incident handling shall be translated into updated or new incident handling procedures that shall be tested, approved and trained.",RS.MI-01: Incidents are contained,0.5750317573547363,Partial Match
RS.IM-2.1:The organization shall update the response and recovery  plans to address changes in its context.,"RS.MA-01: The incident response plan is executed once an incident is declared in coordination with relevant third parties (formerly RS.RP-01, RS.CO-04)",0.5860028266906738,Partial Match
BASIC_RC.RP-1.1: A recovery process for disasters and information/cybersecurity incidents shall be developed and executed as appropriate.,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6671754121780396,Partial Match
