Domain,Subcategory,Requirement,Best Match from Service Org Framework,Similarity Score,Match Type
Data Security (PR.DS),"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition","PR.DS-3.2: The organization shall enforce accountability for all its business-critical assets throughout the system lifecycle, including removal, transfers, and disposition.",,,
Data Security (PR.DS),"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition","PR.DS-3.3: The organization shall ensure that the necessary measures are taken to deal with  loss, misuse, damage, or theft of assets.",,,
Data Security (PR.DS),PR.DS-4: Adequate capacity to ensure availability is maintained,"PR.DS-4.1: Capacity planning shall ensure adequate resources for organization's critical system information processing, networking, telecommunications, and data storage.",PR.IR-04: Adequate resource capacity to ensure availability is maintained (formerly PR.DS-04),0.717253565788269,Partial Match
Data Security (PR.DS),PR.DS-4: Adequate capacity to ensure availability is maintained,PR.DS-4.2: Audit data from the organization's critical systems shall be moved to an alternative system.,,,
Data Security (PR.DS),PR.DS-5: Protections against data leaks are implemented,"PR.DS-5.1: The organization shall take appropriate actions resulting in the monitoring of its critical systems at external borders and critical internal points when unauthorized access and activities, including data leakage, is detected.",,,
Data Security (PR.DS),"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity","PR.DS-6.1: The organization shall implement software, firmware, and information integrity checks to detect unauthorized changes to its critical system components during storage, transport, start-up and when determined necessary.",,,
Data Security (PR.DS),PR.DS-7: The development and testing environment(s) are separate from the production environment,PR.DS-7.1: Production environment should be segregated from the Non production environment using logical or network segregation,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),"PR.IP-1.1: The organization shall develop, document, and maintain a baseline configuration for the its business critical systems.","PR.PS-01: Configuration management practices are applied (formerly PR.IP-01, PR.IP-03, PR.PT-02, PR.PT-03)",0.6568431854248047,Partial Match
Information Protection Processes and Procedures (PR.IP),PR.IP-2: A System Development Life Cycle to manage systems is implemented,PR.IP-2.1: The system and application development life cycle shall include security considerations.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-3: Configuration change control processes are in place,PR.IP-3.1: Changes shall be tested and validated before being implemented into operational systems.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-4: Backups of information are conducted, maintained, and tested ",BASIC_PR.IP-4.1: Backups for organization's business critical data shall be conducted and stored on a system different from the device on which the original data resides.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-4: Backups of information are conducted, maintained, and tested ",PR.IP-4.2: The reliability and integrity of backups shall be verified and tested on regular basis.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-4: Backups of information are conducted, maintained, and tested ",PR.IP-4.3: A separate alternate storage site for system backups shall be operated and the same security safeguards as the primary storage location shall be employed.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met,"PR.IP-5.1: The organization shall define, implement, and enforce policy and procedures regarding emergency and safety systems, fire protection systems, and environment controls for its critical systems.",,,
Information Protection Processes and Procedures (PR.IP),PR.IP-6: Data is destroyed according to policy,PR.IP-6.1: The organization shall ensure that its critical system's data is destroyed according to policy.,"PR.DS-09: Data is managed throughout its life cycle, including destruction (formerly PR.IP-06)",0.6869285702705383,Partial Match
Information Protection Processes and Procedures (PR.IP),PR.IP-7: Protection processes are improved,"PR.IP-7.1: The organization shall incorporate improvements derived from the monitoring, measurements, assessments, and lessons learned into protection process updates (continuous improvement).","ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked (formerly part of PR.IP-03)",0.5881983041763306,Partial Match
Information Protection Processes and Procedures (PR.IP),PR.IP-8: Effectiveness of protection technologies is shared ,PR.IP-8.1: The organization shall collaborate and share information about its critical system's related security incidents and mitigation measures with designated partners.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-8: Effectiveness of protection technologies is shared ,PR.IP-8.2: Communication of effectiveness of protection technologies shall be shared with appropriate parties.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-8: Effectiveness of protection technologies is shared ,"PR.IP-8.3: The organization shall implement, where feasible, automated mechanisms to assist in information collaboration.",,,
Information Protection Processes and Procedures (PR.IP),PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,"PR.IP-9.1: Incident response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) shall be established, maintained, approved, and tested to determine the effectiveness of the plans, and the readiness to execute the plans.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.727925181388855,Partial Match
Information Protection Processes and Procedures (PR.IP),"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",BASIC_PR.IP-11.1: Personnel having access to the organization’s most critical information or technology shall be verified.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","PR.IP-11.2: Develop and maintain a human resource information/cyber security process that is applicable when recruiting, during employment and at termination of employment.",,,
Information Protection Processes and Procedures (PR.IP),PR.IP-12: A vulnerability management plan is developed and implemented,PR.IP-12.1: The organization shall establish and maintain a documented process that allows continuous review of vulnerabilities and strategies to mitigate them.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.5330058932304382,Partial Match
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",BASIC_PR.MA-1.1: Patches and security updates for Operating Systems and critical system components shall be installed.,,,
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","PR.MA-1.2: The organization shall plan, perform and document preventive maintenance and repairs on its critical system components according to approved processes and tools.",,,
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","PR.MA-1.3: The organization shall enforce approval requirements, control, and monitoring of maintenance tools for use on the its critical systems.",,,
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","PR.MA-1.4: The organization shall verify security controls following hardware maintenance or repairs, and take action as appropriate.",,,
Maintenance (PR.MA),"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","PR.MA-2.1: Remote maintenance shall only occur after prior approval, monitoring to avoid unauthorised access, and approval of the outcome of the maintenance activities as described in approved processes or procedures.",,,
Maintenance (PR.MA),"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","PR.MA-2.2: The organization shall make sure that strong authenticators, record keeping, and session termination for remote maintenance is implemented.",,,
Protective Technology (PR.PT),"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy","BASIC_PR.PT-1.1: Logs shall be maintained, documented, and reviewed.",PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01),0.6683157682418823,Partial Match
Protective Technology (PR.PT),"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR.PT-1.2: The organization shall ensure that the log records include an authoritative time source or internal clock time stamp that are compared and synchronized  to an authoritative time source. ,PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01),0.6374140381813049,Partial Match
Protective Technology (PR.PT),PR.PT-2: Removable media is protected and its use restricted according to policy,PR.PT-2.1: The usage restriction of portable storage devices shall be ensured through an appropriate documented policy and supporting safeguards.,,,
Protective Technology (PR.PT),PR.PT-2: Removable media is protected and its use restricted according to policy,"PR.PT-2.2: The organisation should technically prohibit the connection of removable media unless strictly necessary; in other instances, the execution of autoruns from such media should be disabled.",,,
Protective Technology (PR.PT),PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,PR.PT-3.1: The organization shall configure the business critical systems to provide only essential capabilities.,,,
Protective Technology (PR.PT),PR.PT-4: Communications and control networks are protected,BASIC_PR.PT-4.1: Web and e-mail filters shall be installed and used.,,,
Anomalies and Events (DE.AE),DE.AE-2: Detected events are analyzed to understand attack targets and methods,DE.AE-2.1: The organization shall review and analyze detected events to understand attack targets and methods.,DE.AE-02: Potentially adverse events are analyzed to better understand associated activities,0.6170812845230103,Partial Match
Anomalies and Events (DE.AE),DE.AE-3: Event data are collected and correlated from multiple sources and sensors,"BASIC_DE.AE-3.1: The activity logging functionality of protection / detection hardware or software 
(e.g. firewalls, anti-virus) shall be enabled, backed-up and reviewed.",,,
Anomalies and Events (DE.AE),DE.AE-3: Event data are collected and correlated from multiple sources and sensors,"DE.AE-3.2: The organization shall ensure that event data is compiled and correlated across its critical systems using various sources such as event reports, audit monitoring, network monitoring, physical access monitoring, and user/administrator reports.",DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04),0.6023256778717041,Partial Match
Anomalies and Events (DE.AE),DE.AE-5: Incident alert thresholds are established,DE.AE-5.1: The organization shall implement automated mechanisms and system generated alerts to support event detection and to assist in the identification of security alert thresholds.,DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04),0.5133184194564819,Partial Match
Anomalies and Events (DE.AE),DE.AE-5: Incident alert thresholds are established,DE.AE-5.2: The organization shall define incident alert thresholds.,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria (formerly DE.AE-05),0.6561904549598694,Partial Match
Security Continuous Monitoring (DE.CM),DE.CM-1: The network is monitored to detect potential cybersecurity events,BASIC_DE.CM-1.1: Firewalls shall be installed and  operated on the network boundaries and completed with firewall protection on the endpoints.,,,
Security Continuous Monitoring (DE.CM),DE.CM-1: The network is monitored to detect potential cybersecurity events,"DE.CM-1.2: The organization shall monitor and identify unauthorized use of its business critical systems through the detection of unauthorized local connections, network connections and remote connections.","DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)",0.7074682712554932,Partial Match
Security Continuous Monitoring (DE.CM),DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,DE.CM-2.1: The physical environment of the facility shall be monitored for potential information/cybersecurity events.,DE.CM-02: The physical environment is monitored to find potentially adverse events,0.7500029802322388,Partial Match
Security Continuous Monitoring (DE.CM),DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events,BASIC_DE.CM-3.1: End point and network protection tools to monitor end-user behavior for dangerous activity shall be implemented.,"DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)",0.6100461483001709,Partial Match
Security Continuous Monitoring (DE.CM),DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events,DE.CM-3.2: End point and network protection tools that monitor end-user behavior for dangerous activity shall be managed.,"DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)",0.641889214515686,Partial Match
Security Continuous Monitoring (DE.CM),DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events,DE.CM-3.3: Software usage and installation restrictions shall be enforced.,,,
Security Continuous Monitoring (DE.CM),DE.CM-4: Malicious code is detected,"BASIC_DE.CM-4.1: Anti-virus, -spyware, and other -malware programs shall be installed and updated.",,,
Security Continuous Monitoring (DE.CM),DE.CM-5: Unauthorized mobile code is detected,"DE.CM-5.1: The organization shall define acceptable and unacceptable mobile code and mobile code technologies; and authorize, monitor, and control the use of mobile code within the system.",,,
Security Continuous Monitoring (DE.CM),DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events,DE.CM-6.1: All external connections by vendors supporting IT/OT applications or infrastructure shall be secured and actively monitored to ensure that only permissible actions occur during the connection.,,,
Security Continuous Monitoring (DE.CM),DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events,DE.CM-6.2: External service providers' conformance with personnel security policies and procedures and contract security requirements shall be monitored relative to their cybersecurity risks.,"DE.CM-06: External service provider activities and services are monitored to find potentially adverse events (formerly DE.CM-06, DE.CM-07)",0.6893880367279053,Partial Match
Security Continuous Monitoring (DE.CM),"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed","DE.CM-7.1: The organization's business critical systems shall be monitored for unauthorized personnel access, connections, devices, access points, and software.",,,
Security Continuous Monitoring (DE.CM),DE.CM-8: Vulnerability scans are performed,DE.CM-8.1: The organization shall monitor and scan for vulnerabilities in its critical systems and hosted applications ensuring that system functions are not adversely impacted by the scanning process.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.5334349870681763,Partial Match
Security Continuous Monitoring (DE.CM),DE.CM-8: Vulnerability scans are performed,"DE.CM-8.2: The vulnerability scanning process shall include analysis, remediation, and information sharing.","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.6714081168174744,Partial Match
Detection Processes (DE.DP),DE.DP-2: Detection activities comply with all applicable requirements,"DE.DP-2.1: The organization shall conduct detection activities in accordance with applicable federal and regional laws, industry regulations and standards, policies, and other applicable requirements.",,,
Detection Processes (DE.DP),DE.DP-3: Detection processes are tested,DE.DP-3.1: The organization shall validate that event detection processes are operating as intended.,DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04),0.5466704368591309,Partial Match
Detection Processes (DE.DP),DE.DP-4: Event detection information is communicated,DE.DP-4.1: The organization shall communicate event detection information to predefined parties.,,,
Detection Processes (DE.DP),DE.DP-5: Detection processes are continuously improved,"DE.DP-5.1: Improvements derived from the monitoring, measurement, assessment, testing, review, and lessons learned, shall be incorporated into detection process revisions.",,,
Response Planning (RS.RP),RS.RP-1: Response plan is executed during or after an incident,"BASIC_RS.RP-1.1:  An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6855020523071289,Partial Match
Response Planning (RS.RP),RS.RP-1: Response plan is executed during or after an incident,"BASIC_RS.RP-1.1:  An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6855020523071289,Partial Match
Response Planning (RS.RP),RS.RP-1: Response plan is executed during or after an incident,"BASIC_RS.RP-1.1:  An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6855020523071289,Partial Match
Response Planning (RS.RP),RS.RP-1: Response plan is executed during or after an incident,"BASIC_RS.RP-1.1:  An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6855020523071289,Partial Match
Communications (RS.CO),RS.CO-1: Personnel know their roles and order of operations when a response is needed,"RS.CO-1.1: The organization shall ensure that personnel understand their roles, objectives, restoration priorities, task sequences (order of operations) and assignment responsibilities for event response.",,,
Communications (RS.CO),RS.CO-2: Incidents are reported consistent with established criteria,"RS.CO-2.1: The organization shall implement reporting on information/cybersecurity incidents on its critical systems in an organization-defined time frame to organization-defined personnel or roles.
NOTE: Incident notification has to be sent to CSIRT within 24 hours of becoming aware of a significant incident",RS.CO-02: Internal and external stakeholders are notified of incidents,0.7059156894683838,Partial Match
Communications (RS.CO),RS.CO-2: Incidents are reported consistent with established criteria,"RS.CO-2.2: The organization shall implement reporting on information/cybersecurity incidents on its critical systems such that a subsequent update is sent to CSIRT within 72 hours of becoming aware of the security incident
NOTE: CSIRT may request intermediate reports as needed. Procedures should allow such adhoc reports to be shared in a time-bound manner",RS.CO-02: Internal and external stakeholders are notified of incidents,0.6285873651504517,Partial Match
Communications (RS.CO),RS.CO-2: Incidents are reported consistent with established criteria,"RS.CO-2.3: A final report not later than one month after the submission of the incident notification under point (b), including the following:
(i) a detailed description of the incident, including its severity and impact;
(ii) the type of threat or root cause that is likely to have triggered the incident;
(iii) applied and ongoing mitigation measures;
(iv) where applicable, the cross-border impact of the incident;",RS.CO-02: Internal and external stakeholders are notified of incidents,0.6957082748413086,Partial Match
Communications (RS.CO),RS.CO-3: Information is shared consistent with response plans,BASIC_RS.CO-3.1: Information/cybersecurity incident information shall be communicated and shared with the organization’s employees in a format that they can understand.,RS.CO-02: Internal and external stakeholders are notified of incidents,0.5824811458587646,Partial Match
Communications (RS.CO),RS.CO-3: Information is shared consistent with response plans,RS.CO-3.2: The organization shall share information/cybersecurity incident information with relevant stakeholders as foreseen in the incident response plan.,RS.CO-02: Internal and external stakeholders are notified of incidents,0.7104040384292603,Partial Match
Communications (RS.CO),RS.CO-4: Coordination with stakeholders occurs consistent with response plans,RS.CO-4.1: The organization shall coordinate information/cybersecurity incident response actions with all predefined stakeholders.,RS.CO-02: Internal and external stakeholders are notified of incidents,0.6838676929473877,Partial Match
Communications (RS.CO),RS.CO-5: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,"RS.CO-5.1: The organization shall share information/cybersecurity event information voluntarily, as appropriate, with external stakeholders, industry security groups,… to achieve broader information/cybersecurity situational awareness.",,,
Analysis (RS.AN),RS.AN-1: Notifications from detection systems are investigated,RS.AN-1.1: The organization shall investigate information/cybersecurity-related notifications generated from detection systems.,,,
Analysis (RS.AN),RS.AN-2: The impact of the incident is understood,RS.AN-2.1:Thorough investigation and result analysis shall be the base for understanding the full implication of the information/cybersecurity incident.,RS.AN-03: Analysis is performed to determine what has taken place during an incident and the root cause of the incident,0.6623488664627075,Partial Match
Analysis (RS.AN),RS.AN-4: Incidents are categorized consistent with response plans,RS.AN-4.1: Information/cybersecurity incidents shall be categorized according to the level of severity and impact consistent with the evaluation criteria included the incident response plan.,"RS.MA-03: Incidents are categorized and prioritized (formerly RS.AN-04, RS.AN-02)",0.524732232093811,Partial Match
Analysis (RS.AN),"RS.AN-5: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)","RS.AN-5.1: The organization shall implement vulnerability management processes and procedures that include processing, analyzing and remedying vulnerabilities from internal and external sources.","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.6738519668579102,Partial Match
Mitigation (RS.MI),RS.MI-1: Incidents are contained,"RS.MI-1.1: The organization shall implement an incident handling capability for information/cybersecurity incidents on its business critical systems that includes preparation, detection and analysis, containment, eradication, recovery and documented risk acceptance.",RS.MI-01: Incidents are contained,0.7048994302749634,Partial Match
Improvements (RS.IM),RS.IM-1: Response plans incorporate lessons learned,"BASIC_RS.IM-1.1:The organization shall conduct post-incident evaluations to analyse lessons learned from incident response and recovery, and consequently improve processes / procedures / technologies to enhance its cyber resilience.",RS.MA-05: The criteria for initiating incident recovery are applied,0.5357861518859863,Partial Match
Improvements (RS.IM),RS.IM-1: Response plans incorporate lessons learned,"RS.IM-1.2:Lessons learned from incident handling shall be translated into updated or new incident handling procedures that shall be tested, approved and trained.",RS.MI-01: Incidents are contained,0.5750316381454468,Partial Match
Improvements (RS.IM),RS.IM-2: Response and Recovery strategies are updated,RS.IM-2.1:The organization shall update the response and recovery  plans to address changes in its context.,"RS.MA-01: The incident response plan is executed once an incident is declared in coordination with relevant third parties (formerly RS.RP-01, RS.CO-04)",0.5860028266906738,Partial Match
Recovery Planning (RC.RP),RC.RP-1: Recovery plan is executed during or after a cybersecurity incident ,BASIC_RC.RP-1.1: A recovery process for disasters and information/cybersecurity incidents shall be developed and executed as appropriate.,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.6671754717826843,Partial Match
Improvements (RC.IM),RC.IM-1: Recovery plans incorporate lessons learned,"RC.IM-1.1: The organization shall incorporate lessons learned from incident recovery activities into updated or new system recovery procedures and, after testing, frame this with appropriate training.","RC.RP-02: Recovery actions are determined, scoped, prioritized, and performed",0.6621373891830444,Partial Match
Communications (RC.CO),RC.CO-1: Public relations are managed,RC.CO-1.1: The organization shall centralize and coordinate how information is disseminated and manage how the organization is presented to the public.,,,
Communications (RC.CO),RC.CO-3: Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,"RC.CO-3.1: The organization shall communicate recovery activities to predefined stakeholders, executive and management teams.",RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,0.7827962636947632,Partial Match
